Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_028840,Armc1,-,-,-,-,-,0.027 ,0.012 ,0.237 ,0.177 ,-1.427 ,1,1,0,0,0,0,0,0,0
NM_028938,Lrrc44,-,-,-,-,-,-0.078 ,0.071 ,-0.013 ,0.254 ,0.133 ,0,0,0,0,0,1,0,0,0
NM_007441,Alx3,-,-,-,-,-,0.138 ,0.106 ,0.281 ,-0.047 ,-0.119 ,0,0,1,1,0,0,0,0,0
NM_001081200,Crnn,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009626,Adh7,-,-,-,-,-,0.041 ,0.114 ,0.131 ,0.015 ,0.144 ,0,0,0,0,0,0,0,0,0
NM_026222,Ccdc39,-,-,-,-,-,-0.021 ,0.083 ,-0.287 ,-0.064 ,-0.234 ,0,0,0,1,0,0,0,0,0
NM_001030305,Pmp2,-,-,-,-,-,-0.007 ,0.054 ,-0.003 ,-0.165 ,0.160 ,0,0,0,0,0,0,0,0,0
NM_001113413,Rnf13,-,-,-,-,-,-0.032 ,0.068 ,0.000 ,-0.058 ,1.221 ,0,0,0,0,0,0,0,0,0
NM_011471,Sprr2e,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_133784,Wwtr1,-,-,-,-,-,0.492 ,0.149 ,0.638 ,2.089 ,3.566 ,1,0,0,0,0,0,0,0,0
NM_177663,Isg20l2,-,-,-,-,-,-0.251 ,0.023 ,0.028 ,-0.265 ,-1.990 ,0,0,0,0,0,0,0,0,0
NM_023624,Lrat,-,-,-,-,-,-0.273 ,0.120 ,-0.174 ,0.005 ,0.246 ,0,0,2,0,0,0,0,0,0
NM_153562,Bc023814,-,-,-,-,-,-0.052 ,0.114 ,-0.234 ,-0.006 ,-0.277 ,0,0,0,0,0,0,0,0,0
NM_146136,Slc16a4,-,-,-,-,-,-0.070 ,0.199 ,0.056 ,0.038 ,0.442 ,0,0,0,0,0,0,0,0,0
NM_025723,4921515j06rik,-,-,-,-,-,-0.010 ,0.086 ,0.082 ,-0.096 ,0.272 ,0,0,0,0,0,0,0,0,0
NM_025845,Prpf38b,12,46,-0.150 ,-0.212 ,-0.076 ,-0.008 ,0.038 ,0.082 ,0.065 ,-0.956 ,0,0,0,0,0,0,0,0,0
NM_019550,Ptbp2,1,15,0.082 ,0.031 ,0.115 ,-0.117 ,0.031 ,0.025 ,-0.254 ,-0.016 ,1,0,0,0,0,0,0,0,0
NM_130448,Pcdh18,-,-,-,-,-,0.029 ,0.089 ,0.012 ,-0.015 ,0.044 ,0,0,0,0,0,0,0,1,0
NM_018864,Impa1,1,6,0.158 ,0.114 ,0.640 ,-0.006 ,0.027 ,0.049 ,0.179 ,-0.657 ,0,0,0,0,0,0,0,0,0
NM_008987,Ptx3,-,-,-,-,-,-0.010 ,0.028 ,0.162 ,0.090 ,0.192 ,0,0,0,0,0,0,0,0,0
NM_001102407,Rbm8a,3,17,-0.163 ,-0.259 ,-0.105 ,-0.030 ,0.092 ,0.081 ,-0.128 ,-0.863 ,0,0,0,0,0,0,0,0,0
NM_021517,Pdzk1,-,-,-,-,-,0.010 ,0.016 ,0.155 ,-0.205 ,0.194 ,0,0,0,0,0,0,0,0,0
NM_001081298,Lphn2,-,-,-,-,-,0.938 ,0.118 ,0.238 ,0.275 ,-1.484 ,0,0,0,0,0,0,0,0,0
NM_008129,Gclm,12,89,0.294 ,0.189 ,0.373 ,0.302 ,0.137 ,0.074 ,0.200 ,0.550 ,0,0,0,0,0,0,0,0,0
NM_007901,Edg1,-,-,-,-,-,-0.229 ,0.208 ,-0.181 ,-0.573 ,0.172 ,1,0,0,0,1,0,0,0,0
NM_028628,Lce1l,-,-,-,-,-,-0.170 ,0.081 ,-0.074 ,-0.155 ,0.083 ,0,0,0,0,0,0,0,0,0
NM_001081411,Sclt1,-,-,-,-,-,0.228 ,0.076 ,-0.055 ,-0.137 ,-0.016 ,0,0,1,0,0,0,0,0,0
NM_027193,Dph5,-,-,-,-,-,-0.092 ,0.027 ,0.117 ,0.029 ,-3.105 ,0,0,0,0,0,0,0,0,0
NM_145964,Bc002199,-,-,-,-,-,-0.238 ,0.044 ,0.176 ,0.081 ,-1.800 ,0,0,0,0,0,0,0,0,0
NM_008979,Ptpn22,-,-,-,-,-,0.549 ,0.097 ,-0.238 ,0.463 ,1.088 ,0,0,0,0,0,0,0,0,0
NM_017392,Celsr2,-,-,-,-,-,0.166 ,0.108 ,0.027 ,-0.032 ,0.151 ,1,0,0,0,0,0,0,0,0
NM_011020,Hspa4l,25,75,0.235 ,0.082 ,0.326 ,-0.259 ,0.047 ,-0.100 ,-0.201 ,-0.178 ,0,0,0,0,1,0,0,0,0
NM_053182,Pag1,3,4,0.162 ,-0.203 ,2.256 ,-0.152 ,0.034 ,0.199 ,-0.227 ,1.506 ,0,0,0,0,0,0,0,1,1
NM_010022,Dbt,11,25,0.208 ,0.082 ,0.313 ,-0.134 ,0.057 ,0.172 ,-0.144 ,-2.739 ,0,0,1,0,0,0,0,0,0
NM_028915,Lrrcc1,-,-,-,-,-,0.073 ,0.113 ,0.020 ,0.409 ,-1.279 ,0,0,0,0,0,1,0,0,0
NM_020265,Dkk2,-,-,-,-,-,0.121 ,0.076 ,-0.082 ,0.320 ,0.092 ,0,0,0,0,0,0,0,0,0
NM_001111102,Lmna,2,2,0.207 ,-0.193 ,0.608 ,-0.077 ,0.141 ,-0.062 ,-0.124 ,0.355 ,0,0,0,0,0,0,0,0,0
NM_001033479,Gm1527,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_133787,Nmd3,-,-,-,-,-,-0.238 ,0.075 ,0.128 ,-0.227 ,-2.571 ,0,0,0,0,0,0,0,0,0
NM_021483,Pex5l,-,-,-,-,-,0.171 ,0.144 ,0.114 ,-0.120 ,-0.006 ,0,0,0,0,0,0,0,0,0
NM_009811,Casp6,10,28,0.120 ,0.018 ,0.189 ,0.184 ,0.045 ,-0.122 ,0.192 ,1.357 ,0,0,0,0,0,0,0,0,0
NM_178654,Pkn2,-,-,-,-,-,-0.128 ,0.048 ,0.229 ,-0.090 ,-0.451 ,0,0,0,0,0,0,0,0,0
NM_145825,Cetn4,-,-,-,-,-,-0.030 ,0.097 ,-0.122 ,-0.119 ,0.139 ,0,0,0,0,0,0,0,0,0
NM_027617,Spata1,-,-,-,-,-,-0.057 ,0.058 ,-0.100 ,-0.262 ,0.700 ,0,0,0,0,0,0,0,0,0
NM_133853,Magi3,-,-,-,-,-,0.054 ,0.083 ,0.153 ,-0.137 ,0.547 ,0,0,0,0,0,1,0,0,0
NM_153563,6330569m22rik,4,11,-0.168 ,-0.424 ,0.084 ,-0.079 ,0.021 ,-0.033 ,0.112 ,0.450 ,0,0,0,0,0,1,0,0,0
NM_001032414,Pear1,-,-,-,-,-,-0.313 ,0.361 ,-0.314 ,0.160 ,-0.028 ,0,0,0,0,0,0,0,0,0
NM_026416,S100a16,-,-,-,-,-,0.039 ,0.121 ,-0.100 ,-0.452 ,-0.088 ,0,0,0,0,0,0,0,0,0
NM_153193,Hsd3b2,-,-,-,-,-,0.067 ,0.157 ,0.096 ,0.163 ,0.091 ,0,0,0,0,0,0,0,0,0
NM_007917,Eif4e,5,28,-0.048 ,-0.326 ,0.040 ,-0.004 ,0.069 ,0.182 ,0.106 ,-1.425 ,0,0,0,0,0,0,0,0,0
NM_183224,7530404m11rik,-,-,-,-,-,0.297 ,0.115 ,0.021 ,-0.164 ,0.302 ,0,0,0,0,0,0,0,0,0
NM_177041,Flad1,6,8,0.214 ,-0.219 ,0.852 ,-0.063 ,0.070 ,-0.188 ,-0.113 ,0.067 ,0,0,0,0,0,0,0,0,0
NM_001039090,Skil,-,-,-,-,-,-0.021 ,0.077 ,-0.224 ,0.082 ,2.105 ,0,0,0,0,0,0,0,0,0
NM_019745,Pdcd10,9,30,0.136 ,-0.035 ,0.192 ,0.042 ,0.037 ,-0.040 ,0.059 ,0.592 ,0,0,0,0,0,0,0,0,0
NM_028307,Tdrkh,-,-,-,-,-,-0.195 ,0.321 ,0.041 ,0.071 ,-2.402 ,0,0,0,0,0,0,0,0,0
NM_009968,Cryz,-,-,-,-,-,-0.034 ,0.073 ,-0.123 ,-0.191 ,-0.865 ,0,0,0,0,0,0,0,0,0
NM_010559,Il6ra,-,-,-,-,-,0.354 ,0.151 ,0.017 ,0.222 ,2.747 ,0,0,0,0,0,0,0,0,0
NM_024194,Lrrc40,-,-,-,-,-,-0.078 ,0.033 ,-0.042 ,-0.255 ,-1.526 ,0,0,1,0,0,1,0,0,0
NM_026182,Mtfr1,-,-,-,-,-,-0.046 ,0.018 ,0.066 ,-0.053 ,-0.958 ,0,0,0,0,0,0,0,0,0
NM_080466,Kcnn3,-,-,-,-,-,0.206 ,0.054 ,-0.010 ,0.196 ,2.380 ,0,0,1,0,0,0,0,0,0
NM_029690,Arpm1,-,-,-,-,-,0.201 ,0.084 ,0.116 ,-0.037 ,0.457 ,0,0,0,0,0,0,0,0,0
NM_020505,Vav3,13,37,0.050 ,-0.094 ,0.080 ,-0.230 ,0.033 ,-0.081 ,-0.252 ,0.286 ,0,0,1,0,0,1,0,0,0
NM_178165,Fcrl1,-,-,-,-,-,0.034 ,0.162 ,0.020 ,-0.017 ,0.457 ,0,1,0,0,0,0,0,0,0
NM_011310,S100a3,-,-,-,-,-,0.244 ,0.079 ,0.032 ,0.087 ,0.855 ,0,0,0,0,0,0,0,0,0
NM_030143,Ddit4l,-,-,-,-,-,0.216 ,0.205 ,-0.003 ,0.207 ,0.293 ,0,0,0,0,1,0,0,0,0
NM_010703,Lef1,-,-,-,-,-,0.003 ,0.167 ,0.072 ,-0.005 ,0.180 ,0,0,1,0,0,0,0,0,0
NM_133857,Usp53,-,-,-,-,-,0.048 ,0.080 ,0.329 ,0.086 ,1.133 ,0,0,0,0,0,0,0,0,0
NM_030732,Tbl1xr1,18,162,-0.067 ,-0.123 ,-0.006 ,-0.143 ,0.093 ,-0.098 ,-0.193 ,0.315 ,0,0,0,0,0,1,0,0,0
NM_001104614,Vmn2r3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0
NM_009725,Atp5f1,16,82,0.050 ,-0.026 ,0.145 ,0.024 ,0.036 ,0.034 ,-0.012 ,-0.104 ,0,0,0,0,0,0,0,0,0
NM_016984,Trpc4,-,-,-,-,-,-0.101 ,0.032 ,0.028 ,-0.089 ,0.267 ,0,0,0,0,0,0,0,1,0
NM_001080818,Cdc14a,-,-,-,-,-,0.061 ,0.065 ,-0.190 ,-0.022 ,1.028 ,0,0,0,0,0,0,0,0,0
NM_178936,Tmem56,-,-,-,-,-,-0.056 ,0.074 ,0.084 ,-0.052 ,0.008 ,1,0,0,0,0,0,0,0,0
NM_026394,Lce1f,-,-,-,-,-,-0.136 ,0.079 ,0.095 ,-0.048 ,-0.130 ,0,0,0,0,0,0,0,0,0
NM_026352,Ppid,20,70,0.010 ,-0.049 ,0.056 ,-0.187 ,0.025 ,0.344 ,-0.044 ,-2.993 ,0,0,0,0,0,0,0,0,0
NM_009836,Cct3,39,283,0.079 ,-0.017 ,0.159 ,-0.004 ,0.037 ,0.416 ,0.209 ,-3.642 ,0,0,1,0,0,0,0,0,0
NM_011828,Hs2st1,-,-,-,-,-,-0.255 ,0.151 ,0.077 ,-0.231 ,-1.257 ,0,0,0,0,0,0,0,0,0
NM_201407,Dennd4b,2,2,-0.464 ,-0.557 ,-0.371 ,-0.218 ,0.022 ,0.002 ,-0.174 ,0.396 ,0,0,0,0,0,0,0,0,0
NM_007753,Cpa3,-,-,-,-,-,-0.458 ,0.218 ,0.175 ,-0.109 ,-4.389 ,0,0,0,0,0,0,0,0,0
NM_024495,Car13,-,-,-,-,-,0.152 ,0.119 ,0.367 ,0.108 ,-0.494 ,0,0,0,0,0,0,0,0,0
NM_053089,Narg1,29,81,-0.070 ,-0.188 ,0.007 ,-0.186 ,0.088 ,0.127 ,-0.054 ,-2.394 ,0,0,0,0,0,0,0,0,0
NM_027941,Lrrc34,-,-,-,-,-,0.169 ,0.091 ,-0.103 ,-0.113 ,0.434 ,0,0,0,0,0,0,0,0,0
NM_001081320,Cyb561d1,-,-,-,-,-,-0.079 ,0.034 ,0.293 ,-0.101 ,1.083 ,0,0,0,0,0,0,0,0,0
NM_023644,Mccc1,2,2,-0.908 ,-1.494 ,-0.323 ,-0.047 ,0.175 ,0.158 ,-0.072 ,-2.022 ,0,0,0,0,0,0,0,0,0
NM_177260,Tmem154,-,-,-,-,-,0.288 ,0.107 ,-0.686 ,-0.077 ,4.316 ,0,0,0,0,0,0,0,0,0
NM_172526,Ttc24,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_029330,Fpgt,-,-,-,-,-,0.029 ,0.011 ,0.058 ,0.155 ,-0.133 ,0,1,0,0,0,0,0,0,0
NM_173451,Arsj,-,-,-,-,-,0.187 ,0.082 ,0.066 ,0.083 ,0.155 ,0,0,0,0,0,0,0,0,0
NM_172303,Phf17,-,-,-,-,-,-0.347 ,0.073 ,-0.030 ,0.044 ,-0.617 ,0,0,0,0,0,0,0,0,0
NM_177665,Eg229862,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_010232,Fmo5,12,26,0.419 ,0.338 ,0.519 ,0.401 ,0.030 ,-0.481 ,-0.029 ,3.355 ,0,0,0,0,0,0,0,0,0
NM_172501,Nhlrc3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_029604,1700027a23rik,-,-,-,-,-,-0.066 ,0.131 ,0.023 ,-0.218 ,0.177 ,0,0,0,0,0,0,0,0,0
NM_145126,Chi3l4,1,2,0.477 ,0.463 ,0.491 ,0.092 ,0.031 ,-1.248 ,0.016 ,4.210 ,0,0,0,0,0,0,0,0,0
NM_001033304,5330417c22rik,-,-,-,-,-,0.215 ,0.142 ,-0.120 ,0.059 ,0.135 ,0,0,0,0,0,0,0,0,0
NM_026724,Rpl34,1,8,-0.059 ,-0.070 ,-0.054 ,0.022 ,0.030 ,-0.007 ,0.092 ,-0.465 ,0,0,0,0,0,0,0,0,0
NM_207247,Pglyrp3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_032400,Sucnr1,-,-,-,-,-,0.208 ,0.070 ,0.007 ,0.207 ,0.067 ,0,0,0,0,0,1,0,0,0
NM_177545,Vangl1,-,-,-,-,-,-0.099 ,0.094 ,-0.152 ,-0.035 ,0.302 ,0,0,0,0,0,0,0,0,0
NM_027271,D3ertd751e,-,-,-,-,-,0.165 ,0.023 ,-0.032 ,0.029 ,-0.585 ,0,0,0,0,0,0,0,0,0
NM_177250,Lingo4,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001033199,Ai747448,-,-,-,-,-,0.010 ,0.094 ,0.077 ,-0.021 ,0.016 ,0,0,0,0,0,0,0,0,0
NM_028456,Rwdd3,-,-,-,-,-,-0.195 ,0.111 ,0.008 ,0.064 ,-1.874 ,0,0,0,0,0,0,0,0,0
NM_138679,Ash1l,-,-,-,-,-,-0.153 ,0.062 ,-0.245 ,-0.211 ,0.263 ,0,0,0,1,0,0,0,0,0
NM_175424,A030004j04rik,-,-,-,-,-,-0.169 ,0.123 ,-0.060 ,0.129 ,0.248 ,0,0,0,0,0,0,0,0,0
NM_007651,Cd53,-,-,-,-,-,0.066 ,0.041 ,-0.079 ,-0.033 ,1.108 ,0,0,0,0,0,1,0,0,0
NM_001114665,Fnbp1l,-,-,-,-,-,0.419 ,0.059 ,-0.065 ,0.712 ,0.136 ,0,0,2,0,0,0,0,0,0
NM_031368,Bglap-rs1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009432,Tshb,-,-,-,-,-,-0.042 ,0.041 ,0.052 ,-0.084 ,0.130 ,0,0,0,0,0,1,0,0,0
NM_007529,Bcan,-,-,-,-,-,-0.076 ,0.018 ,0.078 ,-0.185 ,-0.029 ,0,0,0,0,0,0,0,0,0
NM_172530,She,-,-,-,-,-,-0.075 ,0.151 ,0.204 ,0.184 ,0.177 ,0,0,1,0,0,0,0,0,0
NM_001079830,Trim33,3,4,0.095 ,-0.155 ,0.151 ,-0.057 ,0.024 ,-0.023 ,0.095 ,0.179 ,0,0,0,0,0,0,0,0,0
NM_021896,Gucy1a3,-,-,-,-,-,0.357 ,0.327 ,-0.621 ,-0.105 ,-0.190 ,0,0,0,0,0,0,0,0,0
NM_029425,4833424o15rik,-,-,-,-,-,0.014 ,0.092 ,0.199 ,-0.043 ,0.149 ,0,0,0,0,0,0,0,0,0
NM_178080,Pde4dip,-,-,-,-,-,-0.116 ,0.082 ,-0.399 ,-0.090 ,-1.769 ,0,0,0,0,0,0,0,0,0
NM_145539,Tm4sf4,-,-,-,-,-,-0.016 ,0.083 ,0.084 ,-0.291 ,-0.210 ,0,0,0,0,0,0,0,0,0
NM_172685,Slc25a24,17,52,0.019 ,-0.093 ,0.079 ,-0.330 ,0.033 ,-0.471 ,-0.271 ,3.151 ,0,0,0,0,0,0,0,0,0
NM_198658,Nr1h5,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001033350,Bank1,-,-,-,-,-,-0.040 ,0.047 ,-0.071 ,0.094 ,1.820 ,0,0,0,0,2,0,0,0,0
NM_030249,Cttnbp2nl,-,-,-,-,-,0.250 ,0.042 ,-0.241 ,-0.166 ,0.554 ,0,0,0,0,0,0,0,0,0
NM_026229,Gpr89,-,-,-,-,-,-0.064 ,0.056 ,0.233 ,0.239 ,-2.032 ,0,0,0,0,1,1,0,0,0
NM_173181,3110050n22rik,-,-,-,-,-,0.088 ,0.302 ,0.244 ,0.257 ,-1.847 ,0,0,1,0,0,0,0,0,0
NM_028081,4933421e11rik,-,-,-,-,-,-0.013 ,0.092 ,-0.311 ,-0.215 ,0.433 ,0,0,0,0,0,0,0,0,0
NM_001033484,Iqgap3,25,69,0.059 ,-0.109 ,0.165 ,0.037 ,0.097 ,0.047 ,-0.062 ,-0.012 ,0,0,0,0,0,0,0,0,0
NM_001040690,Rap1gds1,15,38,0.167 ,0.133 ,0.267 ,0.024 ,0.045 ,0.024 ,0.081 ,0.684 ,0,0,1,0,0,0,0,0,0
NM_028946,Nhedc1,-,-,-,-,-,0.090 ,0.042 ,0.067 ,0.128 ,0.132 ,0,0,0,0,0,0,0,0,1
NM_029570,Atp11b,16,33,0.144 ,0.017 ,0.196 ,0.102 ,0.080 ,-0.058 ,-0.057 ,0.588 ,0,0,0,0,1,1,0,0,0
NM_010928,Notch2,10,21,-0.334 ,-0.460 ,-0.201 ,-0.105 ,0.037 ,-0.185 ,-0.231 ,0.687 ,0,0,0,0,0,0,0,0,0
NM_010801,Mlf1,-,-,-,-,-,-0.100 ,0.147 ,-0.134 ,0.304 ,-0.285 ,0,0,0,0,0,0,0,0,0
NM_013531,Gnb4,-,-,-,-,-,0.062 ,0.162 ,-0.196 ,-0.164 ,-1.158 ,0,0,0,0,0,0,0,0,0
NM_139304,Gatad2b,-,-,-,-,-,0.037 ,0.086 ,0.048 ,0.055 ,0.340 ,0,0,0,0,0,0,0,0,0
NM_019545,Hao3,1,7,-0.070 ,-0.118 ,0.089 ,0.024 ,0.051 ,-0.038 ,-0.032 ,0.121 ,0,0,0,0,0,0,0,0,0
NM_001002011,Lmna,3,4,0.377 ,0.265 ,0.403 ,0.045 ,0.160 ,0.075 ,-0.166 ,0.088 ,0,0,0,0,0,0,0,0,0
NM_008366,Il2,-,-,-,-,-,0.270 ,0.129 ,-0.117 ,0.059 ,0.240 ,0,0,0,0,0,0,0,0,0
NM_028231,Kcnmb2,-,-,-,-,-,0.002 ,0.083 ,0.007 ,-0.224 ,0.302 ,0,1,0,0,0,0,0,0,0
NM_030699,Ntng1,-,-,-,-,-,0.067 ,0.101 ,0.168 ,0.122 ,0.297 ,0,0,1,1,0,0,0,0,0
NM_177274,Negr1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001077688,Lrba,-,-,-,-,-,0.041 ,0.081 ,0.083 ,0.153 ,0.150 ,0,0,0,0,0,0,0,0,0
NM_007410,Adh5,11,21,0.078 ,0.002 ,0.194 ,0.136 ,0.043 ,0.016 ,0.386 ,-0.763 ,0,0,0,0,0,0,0,0,0
NM_026811,Lce1e,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_028625,Lce1a2,-,-,-,-,-,-0.008 ,0.067 ,0.190 ,-0.177 ,0.479 ,0,0,0,0,0,0,0,0,0
NM_008371,Il7,-,-,-,-,-,-0.126 ,0.132 ,0.020 ,-0.152 ,-0.093 ,0,0,0,0,0,0,0,0,0
NM_016867,Gipc2,-,-,-,-,-,0.121 ,0.038 ,-0.127 ,-0.106 ,0.048 ,0,0,0,0,0,0,0,0,0
NM_177145,Pde4dip,-,-,-,-,-,-0.119 ,0.064 ,-0.245 ,0.105 ,-0.081 ,0,0,0,0,0,0,0,0,0
NM_009814,Casq2,-,-,-,-,-,-0.088 ,0.063 ,0.219 ,-0.196 ,0.258 ,1,0,0,0,0,1,0,0,0
NM_027482,5730508b09rik,-,-,-,-,-,0.211 ,0.009 ,-0.044 ,0.195 ,1.310 ,0,0,0,0,0,0,0,0,0
NM_028475,Ubap2l,-,-,-,-,-,0.048 ,0.020 ,-0.025 ,-0.202 ,-0.160 ,0,0,0,0,0,0,0,0,0
NM_013821,Hsd3b6,-,-,-,-,-,0.059 ,0.133 ,0.181 ,0.021 ,0.099 ,0,0,0,0,0,1,0,0,0
NM_172684,Rsbn1,-,-,-,-,-,-0.135 ,0.045 ,-0.089 ,-0.043 ,-1.558 ,0,0,0,0,0,0,0,0,0
NM_017469,Gucy1b3,-,-,-,-,-,0.614 ,0.410 ,-0.993 ,-0.135 ,-0.988 ,0,0,0,1,1,0,0,0,0
NM_133247,Usp33,-,-,-,-,-,-0.181 ,0.009 ,-0.263 ,-0.181 ,0.053 ,0,0,0,0,0,0,0,0,0
NM_133665,Mef2d,-,-,-,-,-,-0.008 ,0.061 ,0.003 ,-0.223 ,0.184 ,0,0,0,0,0,0,0,0,0
NM_028881,Crtc2,-,-,-,-,-,0.077 ,0.099 ,-0.126 ,-0.200 ,0.289 ,0,0,0,0,0,0,0,0,0
NM_028349,Sass6,-,-,-,-,-,-0.085 ,0.042 ,0.045 ,-0.047 ,-0.416 ,0,0,0,0,0,0,0,0,0
NM_018877,Setdb1,-,-,-,-,-,-0.207 ,0.048 ,0.096 ,-0.048 ,-0.552 ,0,0,0,0,0,0,0,0,0
NM_001093753,Sfrs11,-,-,-,-,-,-0.184 ,0.067 ,0.165 ,0.083 ,-0.833 ,0,0,0,0,0,0,0,0,0
NM_138591,Gfm1,19,46,0.079 ,0.009 ,0.196 ,0.068 ,0.190 ,0.181 ,0.162 ,-0.847 ,0,0,0,0,0,0,0,0,0
NM_144959,Hltf,-,-,-,-,-,-0.049 ,0.291 ,-0.255 ,-0.426 ,0.338 ,0,0,0,0,1,0,0,0,0
NM_029655,Snx7,-,-,-,-,-,0.356 ,0.147 ,0.348 ,0.515 ,-0.514 ,0,0,0,0,0,0,0,0,0
NM_010763,Man1a2,-,-,-,-,-,-0.234 ,0.110 ,0.014 ,-0.216 ,-0.251 ,0,0,0,0,0,0,0,0,0
NM_134253,Bnipl,-,-,-,-,-,0.221 ,0.132 ,0.279 ,-0.098 ,0.253 ,0,0,0,0,0,0,0,0,0
NM_001039094,Negr1,-,-,-,-,-,0.086 ,0.101 ,-0.161 ,0.185 ,0.468 ,0,0,0,0,0,0,0,0,0
NM_033175,Lce3c,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008619,Mov10,12,22,-0.406 ,-0.681 ,-0.203 ,0.025 ,0.141 ,-0.168 ,-0.190 ,2.500 ,0,0,0,0,0,0,0,0,0
NM_178777,Nhlh2,-,-,-,-,-,0.230 ,0.060 ,-0.096 ,-0.027 ,0.003 ,1,0,0,0,0,0,0,1,0
NM_019561,Ensa,-,-,-,-,-,0.183 ,0.030 ,0.039 ,0.071 ,0.574 ,0,0,0,0,0,0,0,0,0
NM_019920,Map2k1ip1,-,-,-,-,-,-0.191 ,0.078 ,-0.042 ,0.010 ,-0.159 ,0,0,0,0,0,0,0,0,0
NM_026993,Ddah1,-,-,-,-,-,0.101 ,0.086 ,-0.028 ,0.015 ,0.236 ,0,0,0,0,0,0,0,0,0
NM_001002898,Sirpb1,1,2,-0.068 ,-0.202 ,0.065 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_022994,Dap3,-,-,-,-,-,-0.051 ,0.008 ,-0.056 ,0.033 ,-0.763 ,0,0,0,0,0,0,0,0,0
NM_001081358,Lrrc7,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_028140,Mfsd8,-,-,-,-,-,0.366 ,0.072 ,-0.015 ,0.015 ,0.704 ,0,1,0,0,0,0,0,0,0
NM_019937,Ccnl1,-,-,-,-,-,-0.013 ,0.049 ,-0.032 ,0.175 ,0.324 ,0,0,0,0,0,0,0,0,0
NM_009738,Bche,-,-,-,-,-,0.026 ,0.112 ,-0.131 ,-0.013 ,0.194 ,1,1,0,0,0,0,0,0,0
NM_010423,Hey1,-,-,-,-,-,0.108 ,0.033 ,0.246 ,-0.005 ,0.289 ,0,0,0,0,0,0,0,0,0
NM_001081277,Ak5,-,-,-,-,-,0.037 ,0.106 ,-0.057 ,0.120 ,0.484 ,0,0,0,0,1,0,0,0,0
NM_026460,Serpini2,1,71,0.520 ,0.455 ,0.604 ,0.120 ,0.098 ,-0.044 ,0.193 ,0.244 ,0,0,0,0,0,0,0,0,0
NM_025444,Taf13,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_013658,Sema4a,7,17,-0.168 ,-0.251 ,0.013 ,-0.024 ,0.063 ,-0.026 ,-0.064 ,1.798 ,0,0,0,0,0,1,0,0,0
NM_010196,Fga,-,-,-,-,-,-0.044 ,0.049 ,0.004 ,-0.028 ,0.070 ,0,0,0,0,0,0,0,0,0
NM_181849,Fgb,-,-,-,-,-,0.043 ,0.141 ,0.001 ,0.082 ,0.278 ,0,0,0,0,0,0,0,0,0
NM_146141,Ppa2,4,6,0.095 ,0.036 ,0.129 ,0.057 ,0.052 ,0.003 ,0.159 ,-1.140 ,0,0,0,0,0,0,0,0,0
NM_025779,Ccdc109b,-,-,-,-,-,0.219 ,0.165 ,0.468 ,0.441 ,1.516 ,0,0,0,0,0,0,0,0,0
NM_008417,Kcna2,-,-,-,-,-,-0.012 ,0.032 ,0.081 ,-0.299 ,0.324 ,0,0,1,0,0,0,0,0,0
NM_011990,Slc7a11,-,-,-,-,-,-1.271 ,0.393 ,0.294 ,-0.584 ,0.713 ,0,0,0,0,0,1,0,1,0
NM_009150,Selenbp1,21,111,-0.222 ,-0.400 ,-0.066 ,0.459 ,0.067 ,-0.365 ,0.557 ,0.068 ,0,0,0,0,0,0,0,0,0
NM_172271,Slc6a17,-,-,-,-,-,0.000 ,0.036 ,0.041 ,-0.115 ,0.287 ,0,0,0,0,0,0,0,0,0
NM_172295,Bc037703,-,-,-,-,-,-0.138 ,0.113 ,-0.038 ,0.179 ,0.172 ,0,0,0,0,0,0,0,0,0
NM_021442,Mds1,-,-,-,-,-,0.122 ,0.089 ,0.145 ,0.034 ,0.409 ,0,0,0,0,0,0,0,0,0
